# Catalogo degli aeroporti: da codice IATA/ICAO a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aeroporti.csv, che vince sempre su questo.
#
# Fonte: OurAirports (pubblico dominio). Scali, non eliporti.
# 18361 voci.
AAA/NTGA,Anaa,Anaa Airport
CTV,Saurimo,Saurimo Catoca Airport
CTW,Cottonwood,Cottonwood Airport
CTX,Cortland,Cortland County Chase Field
CTY/KCTY,Cross City,Cross City Airport
CTZ/KCTZ,Clinton,Clinton Sampson County Airport
CUA/MMDA,Comondú,Comondú Ciudad Constitución National Airport
CUB/KCUB,Columbia,Columbia Jim Hamilton L.B. Owens Airport
CUC/SKCC,Cúcuta,Cúcuta Camilo Daza International Airport
CUD/YCDR,Caloundra,Caloundra Airport
CUE/SECU,Cuenca,Cuenca Mariscal Lamar Airport
CUF/LIMZ,Levaldigi (CN),Levaldigi (CN) Cuneo International Airport
CUG/YCUA,Cudal,Cudal Airport
CUH/KCUH,Cushing,Cushing Municipal Airport
CUI,Currillo,Currillo Airport
CUJ,Culion,Culion Airport
CUK/MZCK,Caye Caulker,Caye Caulker Airport
CUL/MMCL,Culiacán,Culiacán Bachigualato Federal International Airport
CUM/SVCU,Cumaná,Cumaná Antonio José de Sucre Airport
CUN/MMUN,Cancún,Cancún International Airport
CUO/SKCR,Carurú,Carurú Airport
CUP/SVCP,Carúpano,Carúpano General Francisco Bermúdez Airport
CUQ/YCOE,Coen,Coen Airport
CUR/TNCC,Willemstad,Willemstad Hato International Airport
CUS,Columbus,Columbus Airport
CUT/SAZW,Cutral-Co,Cutral-Co Airport
CUU/MMCU,Chihuahua,Chihuahua General Roberto Fierro Villalobos International Airport
CUV/SVCG,Casigua El Cubo,Casigua El Cubo Airport
CUY/YCUE,Cue,Cue Airport
CUZ/SPZO,Cusco,Cusco Alejandro Velasco Astete International Airport
CVB/AYCB,Chungribu,Chungribu Airport
CVC/YCEE,Cleve,Cleve Airport
CVE/SKCV,Coveñas,Coveñas Airport
CVF/LFLJ,Saint-Bon,Saint-Bon Courchevel Altiport
CVG/KCVG,Cincinnati /,Cincinnati Northern Kentucky International Airport
CVH/SAHE,Lafontaine,Lafontaine Caviahue Airport
CVI,Caleta Olivia,Caleta Olivia Airport
CVJ/MMCB,Temixco,Temixco General Mariano Matamoros International Airport
CVL,Cape Vogel,Cape Vogel Airport
CVM/MMCV,Ciudad Victoria,Ciudad Victoria General Pedro Jose Mendez International Airport
CVN/KCVN,Clovis,Clovis Municipal Airport
CVO/KCVO,Corvallis,Corvallis Municipal Airport
CVQ/YCAR,Carnarvon,Carnarvon Airport
CVS/KCVS,Clovis,Clovis Cannon Air Force Base
CVU/LPCR,Corvo,Corvo Airport
CWA/KCWA,Mosinee,Mosinee Central Wisconsin Airport
CWB/SBCT,Curitiba,Curitiba-Afonso Pena International Airport
CWC/UKLN,Chernivtsi,Chernivtsi International Airport
CWF/KCWF,Lake Charles,Lake Charles Chennault International Airport
CWI/KCWI,Clinton,Clinton Municipal Airport
CWJ/ZPCW,Lincang (Cangyuan),Cangyuan Washan Airport
CWJC,Ennadai,Ennadai Lake Airport
CWK/VECT,Chitrakoot,Chitrakoot Airport
CWL/EGFF,Cardiff,Cardiff International Airport
CWOB,Brevoort Island,Brevoort Island Airstrip
CWR/YCWI,Cowarie,Cowarie Airport
CWS,Center Island,Center Island Airport
CWT/YCWR,Cowra,Cowra Airport
CWW/YCOR,Corowa,Corowa Airport
CWX,Willcox,Willcox Cochise County Airport
CXA/SVCD,Caicara del Orinoco,Caicara del Orinoco Airport
CXB/VGCB,Cox's Bazar,Cox's Bazar Airport
CXC,Chitina,Chitina Airport
CXF/PACX,Coldfoot,Coldfoot Airport
CXI/PLCH,Kiritimati,Kiritimati Cassidy International Airport
CXJ/SBCX,Caxias Do Sul,Caxias Do Sul Hugo Cantergiani Regional Airport
CXL/KCXL,Calexico,Calexico International Airport
CXN/HCMC,Candala,Candala Airport
CXO/KCXO,Houston,Conroe-North Houston Regional Airport
CXP/WAHL,Cilacap,Cilacap Tunggul Wulung Airport
CXQ/YCRK,Wangkat Jungka,Wangkat Jungka Christmas Creek Station Airport
CXR/VVCR,Nha Trang/nha,Cam Ranh International Airport / Cam Ranh Air Base
CXT/YCHT,Charters Towers,Charters Towers Airport
CXY/MYCC,North Cat Cay,Cat Cay Airport
CYA/MTCA,Les Cayes,Les Cayes Antoine-Simon International Airport
CYAU,Greenfield,Greenfield Liverpool South Shore Regional Airport
CYAV,Winnipeg/Saint,Winnipeg / St. Andrews Airport
CYAX,Lac du Bonnet,Lac du Bonnet Airport
CYB/MWCB,West End,West End Charles Kirkconnell International Airport
CYBP,Brooks,Brooks Regional Airport
CYBU,Nipawin,Nipawin Airport
CYBW,Calgary,Calgary / Springbank Airport
CYC/MZCP,Caye Chapel,Caye Chapel Airport
CYCP,Blue River,Blue River Airport
CYD/MZMF,Maya Flats,San Ignacio Town (Maya Flats) Airstrip
CYDC,Town of Princeton,Princeton Airport
CYEA,Empress,Empress Airport
CYEE,Midland,Midland Huronia Airport
CYES,Edmundston,Edmundston Airport
CYF/PACK,Chefornak,Chefornak Airport
CYFD,Brantford,Brantford Municipal Airport
CYG/YCRG,Corryong,Corryong Airport
CYGD,Goderich,Goderich Airport
CYGE,Golden,Golden Airport
CYHS,Hanover,Hanover / Saugeen Municipal Airport
CYI/RCKU,Shuishang,Shuishang Chiayi Airport
CYJM,Fort St. James,Fort St James Airport
CYJP,Fort Providence,Fort Providence Airport
CYJQ,Denny Island,Denny Island Airport
CYKT,Tranquille,Tranquille Valley Airfield
CYL/MHCS,Coyoles,Coyoles Airport
CYLI,Lillooet,Lillooet Airport
CYMY,Ear Falls,Ear Falls Airport
CYNN,Nejanilini Lake,Nejanilini Lake Airport
CYO/MUCL,Cayo Largo del Sur,Cayo Largo del Sur Vilo Acuña International Airport
CYP/RPVC,Calbayog City,Calbayog Airport
CYPK,Pitt Meadows,Pitt Meadows Regional Airport
CYPP,Parent,Parent Airport
CYPS,Pemberton,Pemberton Regional Airport
CYPT,Pelee Island,Pelee Island Airport
CYPU,Puntzi Mountain,Puntzi Mountain Airport
CYR/SUCA,Colonia del Sacrame,Colonia Laguna de Los Patos International Airport
CYRC,Saint-Honoré,Chicoutimi/Saint-Honoré Aerodrome
CYRP,Ottawa,Ottawa / Carp Airport
CYS/KCYS,Cheyenne,Cheyenne Regional Jerry Olson Field
CYSA,Stratford,Stratford Municipal Airport
CYSG,Saint-Georges,Saint-Georges Airport
CYSQ,Atlin,Atlin Airport
CYSW,Sparwood,Sparwood Elk Valley Airport
CYSZ,Sainte-Anne-des-Mon,Sainte-Anne-des-Monts Aerodrome
CYT/PACY,Yakataga,Yakataga Airport
CYTN,Trenton,Trenton Airport
CYU/RPLO,Cuyo,Cuyo Airport
CYVD,Virden,Virden / RJ (Bob) Andrew Field Regional Aerodrome
CYW/MMCY,Celaya,Celaya Captain Rogelio Castillo National Airport
CYWM,Athabasca,Athabasca Airport
CYWV,Wainwright,Wainwright Airport
CYX/UESS,Cherskiy,Cherskiy Airport
CYYO,Wynyard,Wynyard / W.B. Needham Field
CYZ/RPUY,Cauayan City,Cauayan Airport
CYZY,Mackenzie,Mackenzie Airport
CZA/MMCT,Tinúm,Tinúm Chichén Itzá International Airport
CZB/SSAK,Cruz Alta,Cruz Alta Carlos Ruhl Airport
CZBA,Burlington,Burlington Executive Airpark
CZC,Copper Center,Copper Center 2 Airport
CZE/SVCR,Coro,Coro José Leonardo Chirinos Airport
CZF/PACZ,Cape Romanzof,Cape Romanzof LRRS Airport
CZH/MZCZ,Corozal,Corozal Airport
CZJ,Tupile,Tupile Corazón de Jesús Airport
CZK/KCZK,Cascade Locks,Cascade Locks State Airport
CZL/DABC,Constantine,Constantine Mohamed Boudiaf International Airport
CZM/MMCZ,Cozumel,Cozumel International Airport
CZN,Chisana,Chisana Airport
CZNL,Nelson,Nelson Airport
CZO,Chistochina,Chistochina Airport
CZR/UIAR,Chara,Chara Airport
CZS/SBCZ,Cruzeiro Do Sul,Cruzeiro do Sul Airport
CZT/KCZT,Carrizo Springs,Carrizo Springs Dimmit County Airport
CZU/SKCZ,Corozal,Corozal Las Brujas Airport
CZVL,Edmonton,Edmonton / Villeneuve Airport
CZX/ZSCG,Changzhou,Changzhou Benniu International Airport
CZY/YUNY,Cluny,Cluny Airport
DAA/KDAA,Fort Belvoir,Fort Belvoir Davison Army Air Field
DAAB,Blida,Blida Airport
DAAF,Aoulef,Aoulef Airport
DAAK,Boufarik,Boufarik Air Base
DAAM,Telerghma,Telerghma Airport
DAAN,Reggane,Reggane Air Base
DAAQ,Ain Oussera,Ain Oussera Airport
DAAW,Bordj Omar Driss,Bordj Omar Driss Airport
DAAX,Chéraga,Chéraga Airport
DAAZ,Relizane,Relizane Airport
DAB/KDAB,Daytona Beach,Daytona Beach International Airport
DABO,Oum El Bouaghi,Oum El Bouaghi Air Base
DAC/VGHS,Dhaka,Dhaka Hazrat Shahjalal International Airport
DAD/VVDN,Da Nang,Da Nang International Airport
DAEF,Bordj Omar Driss,Bordj Omar Driss Tin Fouye Tabankort Airport
DAEN,Rhoude Nouss,Rhoud Nouss Airport
DAF,Daup,Daup Airport
DAFI,Djelfa,Djelfa Tsletsi Airport
DAG/KDAG,Daggett,Barstow Daggett Airport
DAH,Dathina,Dathina Airport
DAK/HEDK,Dakhla Oases,Dakhla Oasis Airport
DAL/KDAL,Dallas,Dallas Love Field
DALH,Dalhousie,Dalhousie Airport
DAM/OSDI,Damascus,Damascus International Airport
DAN/KDAN,Danville,Danville Regional Airport
DAO,Dabo,Dabo Airport
DAOC,Béchar,Béchar Ouakda Aerodrome
DAOE,Bousfer,Bousfer Air Base
DAOH,Chenachen,Chenachen Chenachene Airport
DAOM,Hamaguir,Hamaguir Airport
DAP/VNDL,Darchula,Darchula Airport
DAR/HTDA,Dar es Salaam,Dar es Salaam Julius Nyerere International Airport
DAS,Great Bear Lake,Great Bear Lake Airport
DAT/ZBDT,Datong,Datong Yungang International Airport
DAU/AYDU,Daru,Daru Airport
DAV/MPDA,David,David Enrique Malek International Airport
DAX/ZUDX,Dazhou (Daxian),Dazhou (Daxian) Dachuan Airport
DAY/KDAY,Dayton,James M. Cox Dayton International Airport
DAZ/OADZ,Darwaz,Darwaz Airport
DBA/OPDB,Dalbandin,Dalbandin Airport
DBB/HEAL,El Alamein,El Alamein International Airport
DBBC,Bohicon,Bohicon/Cana Airport
DBBO,Porga,Porga Airport
DBBR,Bembereke,Bembereke Airport
DBC/ZYBA,Baicheng,Baicheng Chang'an Airport
DBD/VEDB,Dhanbad,Dhanbad Airport
DBM/HADM,Debre Markos,Debre Markos Airport
DBN/KDBN,Dublin,Dublin W H 'Bud' Barron Airport
DBO/YSDU,Dubbo,Dubbo City Regional Airport
DBP/AYDB,Debepare,Debepare Airport
DBQ/KDBQ,Dubuque,Dubuque Regional Airport
DBR/VEDH,Darbhanga,Darbhanga Airport
DBS,Dubois,Dubois Municipal Airport
DBT/HADT,Debre Tabor,Debre Tabor Airport
DBV/LDDU,Dubrovnik,Dubrovnik Ruđer Bošković Airport
DBY/YDAY,Dalby,Dalby Airport
DCA/KDCA,Washington,Ronald Reagan Washington National Airport
DCF/TDCF,Canefield,Canefield Airport
DCI/LIED,Decimomannu,Decimomannu Air Base
DCK,Dahl Creek,Dahl Creek Airport
DCM/LFCK,Castres,Castres Mazamet Airport
DCN/YCIN,Derby,Derby RAAF Base Curtin
DCT/MYRD,Duncan Town,Duncan Town Airport
DCU/KDCU,Decatur,Decatur Pryor Field Regional Airport
DCY/ZUDC,Garzê (Daocheng),Daocheng Yading Airport
DDC/KDDC,Dodge City,Dodge City Regional Airport
DDD/VRMU,Kudahuvadhoo,Kudahuvadhoo Dhaalu Atoll Airport
DDG/ZYDD,Dandong (Zhenxing),Dandong Langtou International Airport
DDM,Dodoima,Dodoima Airport
DDN/YDLT,Delta Downs,Delta Downs Airport
DDR/ZUDR,Xigazê (Dingri),Xigazê (Dingri) Shigatse Tingri Airport
DDU,Dadu,Dadu West Airport
DEA/OPDG,Dera Ghazi Khan,Dera Ghazi Khan Airport
DEB/LHDC,Debrecen,Debrecen International Airport
DEC/KDEC,Decatur,Decatur Airport
DED/VIDN,Dehradun (Jauligran,Dehradun Jolly Grant Airport
DEE/UHSM,Yuzhno-Kurilsk,Yuzhno-Kurilsk Mendeleyevo Airport
DEF/OIAD,Dezful,Dezful Airport
DEH/KDEH,Decorah,Decorah Municipal Airport
DEI/FSSD,Denis Island,Denis Island Airport
DEJ/ZUDJ,Tongren,Tongren Dejiang Airport (Under Construction)
DEL/VIDP,New Delhi,New Delhi Indira Gandhi International Airport
DEM/HADD,Dembidollo,Dembidollo Airport
DEN/KDEN,Denver,Denver International Airport
DEP/VEDZ,Daporijo,Daporijo Airport
DEQ,Huzhou,Huzhou Deqing Moganshan Airport
DER/AYDE,Derim,Derim Airport
DES/FSDR,Desroches Island,Desroches Airport
DET/KDET,Detroit,Detroit Coleman A. Young Municipal Airport
DEX/WAVD,Dekai,Nop Goliat Dekai Airport
DEZ/OSDZ,Deir ez-Zor,Deir ez-Zor Airport
DFA,Shangluo (Danfeng),Shangluo Airport
DFCB,Barsalogho,Barsalogho Airport
DFCD,Didyr,Didyr Airport
DFCE,Batie,Batie Airport
DFCG,Kongoussi,Kongoussi Airport
DFCI,Titao,Titao Airport
DFCK,Koudougou,Koudougou Airport
DFCM,Manga,Manga Airport
DFCR,Poura,Poura Airport
DFCS,Seguenega,Seguenega Airport
DFCT,Tenado,Tenado Airport
DFCU,Gourcy,Gourcy Airport
DFEC,Komin-Yanga,Komin-Yanga Airport
DFEK,Koupela,Koupela Airport
DFEO,Zorgo,Zorgo Airport
DFEY,Ouargaye,Ouargaye Airport
DFI/KDFI,Defiance,Defiance Memorial Airport
DFOA,Dano,Dano Airport
DFOF,Safane,Safane Airport
DFOH,Houndé,Houndé Airport
DFOR,Orodara,Orodara Airport
DFOS,Sideradougou,Sideradougou Airport
DFP/YDDF,Palmer,Palmer Drumduff Airport
DFW/KDFW,Dallas-Fort Worth,Dallas Fort Worth International Airport
DFYO,Koussaro,Koussaro Yaramoko Gold Mine Airport
DGA/MZPB,Dangriga,Dangriga Airport
DGAH,Ho,Ho Airport
DGD/YDGA,Dalgaranga Gold,Dalgaranga Gold Mine Airport
DGE/YMDG,Mudgee,Mudgee Airport
DGF,Douglas Lake,Douglas Lake Airport
DGH/VEDO,Deoghar,Deoghar Airport
DGL/KDGL,Douglas,Douglas Municipal Airport
DGLN,Navrongo,Navrongo Airport
DGLY,Yendi,Yendi Airport
DGN/KNDY,Dahlgren,Dahlgren Naval Surface Warfare Center Airport
DGO/MMDO,Durango,Durango General Guadalupe Victoria International Airport
DGR/NZDA,Dargaville,Dargaville Aerodrome
DGT/RPVD,Dumaguete City,Dumaguete City Sibulan Airport
DGU/DFOD,Dedougou,Dedougou Airport
DGW/KDGW,Douglas,Douglas Converse County Airport
DHA/OEDR,Dhahran,Dhahran King Abdulaziz Air Base
DHD/YDRH,Durham Downs,Durham Downs Airport
DHF/OMAM,Al Dhafra Air Base,Al Dhafra Air Base
DHG,Dalnegorsk,Dalnegorsk Airport
DHH/ZWLK,Barkol,Barkol Dahe Airport
DHI/VNDH,Dhangarhi,Dhangarhi Airport
DHM/VIGG,Kangra,Kangra Airport
DHN/KDHN,Dothan,Dothan Regional Airport
DHR/EHKD,Den Helder,De Kooy Airfield / Den Helder Naval Air Station
DHT/KDHT,Dalhart,Dalhart Municipal Airport
DHX/WARD,Kediri,Kediri Dhoho International Airport
DIA/OTBD,Doha,Doha International Airport
DIB/VEMN,Dibrugarh,Dibrugarh Airport
DIBC,Bocanda,Bocanda Airport
DIDB,Dabou,Dabou Airport
DIE/FMNA,Antisiranana,Antisiranana Arrachart Airport
DIG/ZPDQ,Diqing (Shangri-La),Diqing Shangri-La Airport
DIJ/LFSD,Dijon,Dijon Longvic airport
DIK/KDIK,Dickinson,Dickinson Theodore Roosevelt Regional Airport
DIL/WPDL,Dili,Dili Presidente Nicolau Lobato International Airport
DIM/DIDK,Dimbokro,Dimbokro Airport
DIN/VVDB,Dien Bien Phu,Dien Bien Phu Airport
DIP/DFED,Diapaga,Diapaga Airport
DIQ/SNDV,Divinópolis,Divinópolis Brigadeiro Cabral Airport
DIR/HADR,Dire Dawa,Dire Dawa Aba Tenna Dejazmach Yilma International Airport
DIS/FCPD,Dolisie,Dolisie Ngot Nzoungou Airport
DIU/VADU,Diu,Diu Airport
DIY/LTCC,Diyarbakır,Diyarbakır Airport
DJA/DBBD,Djougou,Djougou Airport
DJB/WIJJ,Jambi,Jambi Sultan Thaha Airport
DJE/DTTJ,Mellita,Mellita Djerba Zarzis International Airport
DJG/DAAJ,Djanet,Tiska Djanet Airport
DJJ/WAJJ,Sentani,Sentani Dortheys Hiyo Eluay International Airport
DJM/FCBD,Djambala,Djambala Airport
DJN,Delta Junction,Delta Junction Airport
DJO/DIDL,Daloa,Daloa Airport
DJR/YDAJ,Dajarra,Dajarra Airport
DJT/KDJT,West Palm Beach,West Palm Beach President Donald J. Trump International Airport
DJU/BIDV,Djúpivogur,Djúpivogur Airport
DKA/DNKT,Katsina,Katsina Umaru Musa Yar'adua Airport
DKI/YDKI,Dunk Island,Dunk Island Airport
DKK/KDKK,Dunkirk,Chautauqua County-Dunkirk Airport
DKR/GOOY,Dakar,Dakar Léopold Sédar Senghor International Airport
DKS/UODD,Dikson,Dikson Airport
DKV/YDVR,Kaltukatjara,Kaltukatjara Docker River Airport
DLA/FKKD,Douala,Douala International Airport
DLC/ZYTL,Dalian (Ganjingzi),Dalian Zhoushuizi International Airport
DLE/LFGJ,Dole,Dole Tavaux Airport
DLF/KDLF,Del Rio,Del Rio Laughlin Air Force Base
DLG/PADL,Dillingham,Dillingham Airport
DLH/KDLH,Duluth,Duluth International Airport
DLI/VVDL,Da Lat,Da Lat Lien Khuong Airport
DLK/YDLK,Dulkaninna,Dulkaninna Airport
DLL/KDLC,Dillon,Dillon County Airport
DLM/LTBS,Dalaman,Dalaman International Airport
DLN/KDLN,Dillon,Dillon Airport
DLR,Dalnerechensk,Dalnerechensk Airport
DLS/KDLS,Dallesport / The,Dallesport / The Dalles Columbia Gorge Regional Airport
DLU/ZPDL,Dali (Xiaguan),Dali Fengyi Airport
DLV/YDLV,Delissaville,Delissaville Airport
DLY/NVVD,Dillon's Bay,Dillon's Bay Airport
DLZ/ZMDZ,Dalanzadgad,Dalanzadgad Airport
DMA/KDMA,Tucson,Tucson Davis Monthan Air Force Base
DMB/UADD,Taraz,Taraz International Airport
DMD/YDMG,Doomadgee,Doomadgee Airport
DMDM,Kanguwol,Kanguwol Muhammadu Buhari International Cargo Airport
DME/UUDD,Moscow,Moscow Domodedovo International Airport
DMK/VTBD,Bangkok,Bangkok Don Mueang International Airport
DMM/OEDF,Ad Dammam,Ad Dammam King Fahd International Airport
DMN/KDMN,Deming,Deming Municipal Airport
DMO/KDMO,Sedalia,Sedalia Memorial Airport
DMT/SWDM,Diamantino,Diamantino Airport
DMU/VEMR,Dimapur,Dimapur Airport
DNA/RODN,Okinawa,Okinawa Kadena Air Base
DNAN,Umuleri,Umuleri Chinua Achebe International Airport
DNB/YDBR,Maramie,Maramie Dunbar Airport
DNBA,Bauchi,Bauchi Airport
DNBB,Bayaluga,Bayaluga Bebi Airport
DNBI,Bida,Bida Airport
DNBK,Birinin Kebbi,Birinin Kebbi Sir Ahmadu Bello International Airport
DNBY,Yenagoa,Yenagoa Bayelsa International Airport
DND/EGPN,Dundee,Dundee Airport
DNDS,Dutse,Dutse International Airport
DNEK,Eket,Eket Airport
DNES,Escravos,Escravos Airport
DNF,Martuba,Martuba Air Base
DNFB,Finima,Finima Bonny Airport
DNFD,Forçados,Forçados Terminal Airport
DNG/YDGN,Drysdale River,Drysdale River Doongan Airport
DNGU,Gusau,Gusau Airport
DNH/ZLDH,Dunhuang,Dunhuang Mogao International Airport
DNJA,Jalingo,Jalingo Airport
DNK/UKDD,Dnipro,Dnipro International Airport
DNL/KDNL,Augusta,Augusta Daniel Field
DNN/KDNN,Dalton,Dalton Municipal Airport
DNO/SWDN,Dianópolis,Dianópolis Airport
DNOS,Oshogbo,Oshogbo Airport
DNP/VNDG,Dang,Dang Tulsipur Airport
DNQ/YDLQ,Deniliquin,Deniliquin Airport
DNR/LFRD,Dinard,Dinard Pleurtuit Saint-Malo airport
DNS/KDNS,Denison,Denison Municipal Airport
DNU/AYDN,Dinangat,Dinangat Airport
DNV/KDNV,Danville,Danville Vermilion Regional Airport
DNX/HSGG,Dinder,Dinder Galegu Airport
DNZ/LTAY,Denizli,Denizli Çardak Airport
DOA,Doany,Doany Airport
DOB/WAPD,Dobo-Warmar Island,Dobo-Warmar Island Rar Gwamar Airport
DOD/HTDO,Dodoma,Dodoma Airport
DOE,Djumu-Djomoe,Djumu-Djomoe Airport
DOG/HSDN,Dongola,Dongola Airport
DOH/OTHH,Doha,Doha Hamad International Airport
DOI/AYDO,Castori Islets,Castori Islets Doini Airport
DOL/LFRG,Deauville,Deauville Normandie airport
DOM/TDPD,Marigot,Marigot Douglas-Charles Airport
DON,Dos Lagunas,Dos Lagunas Airport
DOO/AYDR,Dorobisoro,Dorobisoro Airport
DOP/VNDP,Dolpa,Dolpa Airport
DOR/DFEE,Dori,Dori Airport
DOU/SBDO,Dourados,Dourados Airport
DOV/KDOV,Dover,Dover Civil Air Terminal/Dover Air Force Base
DOX/YDRA,Port Denison,Port Denison Dongara Airport
DOY/ZSDY,Dongying (Kenli),Dongying Shengli Airport
DPA/KDPA,Chicago/West,Chicago/West Chicago Dupage Airport
DPB/SCBI,Bahia Inutil,Bahia Inutil Pampa Guanaco Airport
DPE/LFAB,Saint-Aubin-sur-Sci,Dieppe-Saint-Aubin Airport
DPG/KDPG,Dugway Proving,Michael AAF (Dugway Proving Ground) Airport
DPL/RPMG,Dipolog,Dipolog Airport
DPO/YDPO,Devonport,Devonport Airport
DPS/WADD,"Kuta, Badung","Kuta, Badung Denpasar I Gusti Ngurah Rai International Airport"
DPT,Deputatskiy,Deputatskiy Airport
DQA/ZYDQ,Daqing,Daqing Sartu Airport
DQM/OODQ,Duqm,Duqm International Airport
DRA/KDRA,Mercury,Mercury Desert Rock Airport
DRB/YDBY,Derby,Derby Airport
DRC,Dirico,Dirico Airport
DRD/YDOR,Dorunda Outstation,Dorunda Airport
DRE/KDRM,Drummond Island,Drummond Island Airport
DRF,Kenai,Kenai Drift River Airport
DRG/PADE,Deering,Deering Airport
DRH/WAJC,Dabra,Dabra Airport
DRI/KDRI,DeRidder,DeRidder Beauregard Regional Airport
DRJ/SMDA,Drietabbetje,Drietabbetje Airport
DRK/MRDK,Puntarenas,Puntarenas Drake Bay Airport
DRN/YDBI,Dirranbandi,Dirranbandi Airport
DRO/KDRO,Durango,Durango La Plata County Airport
DRP/RPLK,Legazpi,Legazpi Bicol International Airport
DRR/YDRI,Durrie,Durrie Airport
DRRA,Tessaoua,Tessaoua Airport
DRRC,Dogondoutchi,Dogondoutchi Airport
DRRD,Dosso,Dosso Airport
DRRE,Tera,Tera Airport
DRRG,Gaya,Gaya Airport
DRRI,Bilma,Bilma Airport
DRRL,Tillabéri,Tillabéri Airport
DRRP,La Tapoa,La Tapoa Airport
DRRU,Ouallam,Ouallam Airport
DRS/EDDC,Dresden,Dresden Airport
DRT/KDRT,Del Rio,Del Rio International Airport
DRU,Drummond,Drummond Airport
DRV/VRMD,Baa Atoll,Baa Atoll Dharavandhoo Airport
DRW/YPDN,Darwin,Darwin International Airport / RAAF Darwin
DRY/YDRD,Drysdale River,Drysdale River Airport
DRZD,Dirkou,Dirkou Airport
DRZF,Diffa,Diffa Airport
DRZG,Goure,Goure Airport
DRZI,Iferouane,Iferouane Airport
DRZM,Maine-Soroa,Maine-Soroa Airport
DRZN,N'Guigmi,N'Guigmi Airport
DRZT,Tanout,Tanout Airport
DSC/FKKS,Dschang,Dschang Airport
DSD/TFFA,Grande Anse,Grande Anse La Désirade Airport
DSE/HADC,Dessie,Dessie Kombolcha Airport
DSG,Dilasag,Dilasag Airport
DSI/KDTS,Destin,Destin Executive Airport
DSK/OPDI,Dera Ismael Khan,Dera Ismael Khan Airport [IN-ACTIVE]
DSM/KDSM,Des Moines,Des Moines International Airport
DSN/ZBDS,Ordos,Ordos Ejin Horo International Airport
DSO/ZKSD,Sŏndŏng-ni,Sŏndŏng-ni Sondok Airport
DSS/GOBD,Dakar,Dakar Blaise Diagne International Airport
DSV/KDSV,Dansville,Dansville Municipal Airport
DSX/RCLM,Kaohsiung (Cijin,Dongsha Island (Pratas Island) Airport
DSY/VDDS,Ta Noun,Ta Noun Dara Sakor International Airport
DTA/KDTA,Delta,Delta Municipal Airport
DTB/WIMN,Siborong-Borong,Siborong-Borong Silangit Airport
DTD/WALJ,Datadawai-Borneo,Datadawai Airport
DTE/RPUD,Daet,Daet Airport
DTH,Death Valley,Death Valley Furnace Creek Airport
DTI/SNDT,Diamantina,Diamantina Airport
DTL/KDTL,Detroit Lakes,Detroit Lakes Airport
DTM/EDLW,Dortmund,Dortmund Airport
DTN/KDTN,Shreveport,Shreveport Downtown Airport
DTR,Decatur,Decatur Shores Airport
DTTB,Borj Challouf,Borj Challouf Bizerte Sidi Ahmed Air Base
DTTD,Remada,Remada Air Base
DTTI,Burj al Hafsiyah,Burj al Hafsiyah Borj El Amri Airport
DTU/ZYDU,Heihe,Heihe Wudalianchi Dedu Airport
DTW/KDTW,Detroit,Detroit Metropolitan Wayne County Airport
DTX/KTKI,Dallas,Dallas McKinney National Airport
DUA/KDUA,Durant,Durant Regional Airport - Eaker Field
DUB/EIDW,Dublin,Dublin Airport
DUC/KDUC,Duncan,Duncan Halliburton Field
DUD/NZDN,Dunedin,Dunedin International Airport
DUE/FNDU,Chitato,Chitato Dundo Airport
DUF,Corolla,Corolla Pine Island Airport
DUG/KDUG,Douglas Bisbee,Bisbee Douglas International Airport
DUJ/KDUJ,Dubois,DuBois Regional Airport
DUK/FADK,Mubatuba,Mubatuba Airport
DUM/WIBD,Dumai,Dumai Pinang Kampai Airport
DUQ,Duncan,Duncan Airport
DUR/FALE,Durban,Durban King Shaka International Airport
DUS/EDDL,Düsseldorf,Düsseldorf Airport
DUT/PADU,Unalaska,Unalaska Tom Madsen (Dutch Harbor) Airport
DVD,Andavadoaka,Andavadoaka Airport
DVK,Diavik,Diavik Airport
DVL/KDVL,Devils Lake,Devils Lake Regional Airport
DVN/KDVN,Davenport,Davenport Municipal Airport
DVO/RPMD,Davao,Davao Francisco Bangoy International Airport
DVP/YDPD,Davenport Downs,Davenport Downs Airport
DVR/YDMN,Nauiyu,Nauiyu Daly River Airport
DVT/KDVT,Phoenix,Phoenix Deer Valley Airport
DWA/FWDW,Dwangwa,Dwangwa Airport
DWB/FMNO,Soalala,Soalala Airport
DWC/OMDW,Dubai(Jebel Ali),Dubai(Jebel Ali) Al Maktoum International Airport
DWD/OEDM,Dawadmi,Dawadmi Domestic Airport
DWH/KDWH,Houston,Houston David Wayne Hooks Memorial Airport
DWR/OADY,Reg,Reg Dwyer Airport
DWS,Hulunbuir,Hulunbuir Morin Dawa Banner Airport
DXAK,Atakpamé,Atakpamé Akpaka Airport
DXB/OMDB,Dubai,Dubai International Airport
DXD/YDIX,New Dixie,Dixie Airport
DXDP,Dapaong,Dapaong Djangou Airport
DXE/KMBO,Madison,Madison Bruce Campbell Field
DXJ/ZGXX,Xiangxi,Xiangxi Biancheng Airport
DXKP,Anié,Anié Kolokope Airport
DXMG,Mango,Sansanné-Mango Airport
